,label,tweets,sentiment
72000,0,USER_MENTION semangat pagi h81 menuju ujian nasional sma smk ma april dan h8 menuju pendaftaran snmptn februari,0
72001,0,semangat pagi h81 menuju ujian nasional sma smk ma april dan h8 menuju pendaftaran snmptn februari,0
72002,0,USER_MENTION semangat pagi h81 menuju ujian nasional sma smk ma april dan h8 menuju pendaftaran snmptn februari,0
72003,0,USER_MENTION smngat pagi h81 mnuju ujian nasional sma smk ma april dan h8 menuju pndftran snmptn februari,0
72004,0,USER_MENTION semangat pagi h81 menuju ujian nasional sma smk ma april dan h8 menuju pendaftaran snmptn februari,0
72005,0,USER_MENTION semangat pagi h81 menuju ujian nasional sma smk ma april dan h8 menuju pendaftaran snmptn februari,0
72006,0,USER_MENTION semangat pagi h81 menuju ujian nasional sma smk ma april dan h8 menuju pendaftaran snmptn februari,0
72007,0,USER_MENTION yang ujian nasional tahun depan semoga dimudahkan dalam mengerjakan soal soal ujian nanti dan mendapatkan nilai yang memuaskan ya,1
72008,0,USER_MENTION ujinyali apa persiapan anda mengikuti uji nyali ini saya udh bawa pinsil penghapus papan dada sia dek ujian nasional hade,1
72009,2,ujian nasional tahun ini tipe soal yg gak setuju boleh retweet,-1
72010,1,USER_MENTION USER_MENTION rahasia sukses ujian nasional kunjungi website di bio kami dan follow USER_MENTION,1
72011,0,semangat pagi h81 menuju ujian nasional sma smk ma april dan h8 menuju pendaftaran snmptn februari,0
72012,0,USER_MENTION mimpikan yang kau mau dan kejarlah impianmu itu. siap ujian nasional dan snmptn,1
72013,0,USER_MENTION semangat pagi h81 menuju ujian nasional sma smk ma april dan h8 menuju pendaftaran snmptn februari,0
72014,0,USER_MENTION semangat pagi h81 menuju ujian nasional sma smk ma april dan h8 menuju pendaftaran snmptn februari,0
72015,1,USER_MENTION mungkin keadaan akan terus seperti ini sampai selesai ujian nasional. ehehe,1
72016,0,USER_MENTION harusnya pertanyaan kapan nikah amp kapan wisuda itu ada di ujian nasional biar ga banyak yg nanyananya lagi,0
72017,1,USER_MENTION USER_MENTION rahasia sukses ujian nasional kunjungi website di bio kami dan follow USER_MENTION,1
72018,1,USER_MENTION USER_MENTION rahasia sukses ujian nasional kunjungi website di bio kami dan follow USER_MENTION,1
72019,1,USER_MENTION USER_MENTION rahasia sukses ujian nasional kunjungi website di bio kami dan follow USER_MENTION,1
72020,1,USER_MENTION h80 menuju ujian nasional,0
72021,1,USER_MENTION USER_MENTION semangat pagi. h81 menuju ujian nasional sma smk ma april amp h8 menuju pendaftaran snmptn februari,0
72022,1,USER_MENTION ini the key of sukses ujian nasional LINK uan USER_MENTION LINK,1
72023,1,USER_MENTION sakit perut tingkat ujian nasional,-1
72024,1,USER_MENTION h80 ujian nasional,0
72025,1,USER_MENTION nunggu hasil ujian nasional USER_MENTION menunggu resminya zaha ke united itu rasanya kayak isi sendiri mufc,1
72026,1,USER_MENTION USER_MENTION USER_MENTION semangat pagi h81 menuju ujian nasional sma smk ma april,0
72027,0,USER_MENTION semangat trus kalahkan ujian nasional wkwrt USER_MENTION semangat sih semangat wes arep semangit malah iki wkw addinaamalia,-1
72028,1,USER_MENTION ujian nasional paket oh em ji,0
72029,0,USER_MENTION semangat pagi h81 menuju ujian nasional sma smk ma april dan h8 menuju pendaftaran snmptn februari,0
72030,0,USER_MENTION semangat pagi h81 menuju ujian nasional sma smk ma april dan h8 menuju pendaftaran snmptn februari,0
72031,0,USER_MENTION semangat pagi h81 menuju ujian nasional sma smk ma april dan h8 menuju pendaftaran snmptn februari,0
