,label,tweets,sentiment
71000,0,USER_MENTION coba link ini yah sy dah simpen di ziddu semoga bisa di download. kisi kisi ujian nasional smpsmasmak gtgtLINK,0
71001,1,USER_MENTION USER_MENTION semangat belajar harus d.tingkatkan gak ada kata malas lagi siap ujian nasional dan snmptn,1
71002,0,USER_MENTION semangat malam h84 menuju ujian nasional sma smk ma april dan h11 menuju pendaftaran snmptn februari,0
71003,1,semangat USER_MENTION h84 menuju ujian nasional.,0
71004,1,seeh ngitungin ka USER_MENTION h84 menuju ujian nasional.,0
71005,1,USER_MENTION rambutan nya maling aja ya dikantin USER_MENTION modul yak buat menghadapi ujian nasional hiks USER_MENTION,0
71006,1,USER_MENTION h84 menuju ujian nasional.,0
71007,1,USER_MENTION alay anak kampus nih pUSER_MENTION sadar diri pang bocah ujian nasional ni USER_MENTION nah bocah pulang benyanyi s malam dah guring,1
71008,1,USER_MENTION ngomongin soal ujian tanggal tepatnya ujian nasional sma ada yg tau gak,0
71009,0,USER_MENTION semangat malam h84 menuju ujian nasional sma april dan h11 menuju pendaftaran snmptn februari,0
71010,1,USER_MENTION USER_MENTION keluar malem tu berasa beraaatt bgt buat dd apalagi menjelang ujian nasional kak,1
71011,1,USER_MENTION semangat buat USER_MENTION USER_MENTION USER_MENTION dan gw sendiri semoga bisa lulus ujian nasional amien,1
71012,0,USER_MENTION apaan kanakan labil USER_MENTION alay anak kampus nih paulyasari sadar diri pang bocah ujian nasional ni USER_MENTION nah bocah pulang ben,0
71013,1,USER_MENTION pelis no hw lagi lah bu pak. mending fokusin ke ujian nasional sama smbptn aja nih hehe,0
71014,0,USER_MENTION pertengahan april mungkin USER_MENTION ngomongin soal ujian tanggal tepatnya ujian nasional sma ada yg tau gak,0
71015,1,USER_MENTION USER_MENTION hhaaa pake ngeles aja lu kaya mau ujian nasional hahaa pulang cepet bawa oleh2 yaa p,1
71016,1,USER_MENTION hwaiting ganbatteee fight for ujian nasional,0
71017,0,USER_MENTION semangat malam h84 menuju ujian nasional sma smk ma april dan h11 menuju pendaftaran snmptn februari,0
71018,0,USER_MENTION h84 menuju ujian nasional sma smk ma april dan h11 menuju pendaftaran snmptn februari,0
71019,0,USER_MENTION msh di pertimbangin katanya USER_MENTION ngomongin soal ujian tanggal tepatnya ujian nasional sma ada yg tau gak,0
