,label,tweets,sentiment
36000,1,USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION ujian nasional apa tuh kayaknya pernah denger,0
36001,1,USER_MENTION USER_MENTION USER_MENTION USER_MENTION ujian nasional apa tuh kayaknya pernah denger,0
36002,2,daftar isian calon peserta ujian nasional tahun pelajaran,0
36003,0,USER_MENTION adanya un bukan uun uun apaan ujianujian nasional hahaaha kok gitu sih nanti aku nganu lho,-1
36004,1,USER_MENTION USER_MENTION USER_MENTION some1 mention meini the key of sukses ujian nasional LINK uan LINK,1
36005,1,USER_MENTION buat daftar ujian nasional la dodol,0
36006,0,bulan itu kenapa cepeeeeet bgt sih perasaan baru kemaren deh gue selesai ujian nasional hahahahahahha,1
36007,1,USER_MENTION USER_MENTION USER_MENTION what ujian itu ulangan exam test omg un ujian nasional masa ga tauu oh em jii confused,0
36008,1,uhuuyy d USER_MENTION kaya lgi beljar untuk ujian nasional breng USER_MENTION hahahaha,1
36009,1,iyo ngerti wkwk USER_MENTION guduk iku saf USER_MENTION pejuang ujian nasional sejaty USER_MENTION opo iku penalty,1
36010,1,abis ujian nasional deh USER_MENTION tellme pengennya gg tour ina kapan me akhir taun pas ultah yul,-1
36011,1,guduk iku saf USER_MENTION pejuang ujian nasional sejaty USER_MENTION opo iku penalty,0
36012,1,pejuang ujian nasional sejaty USER_MENTION opo iku penalty,0
36013,1,aku ngga tau hahaha maybe april deh kalo gasalah USER_MENTION ap emng eh ujian nasionalxa itu kpanx USER_MENTION sama nih,-1
36014,1,ap emng eh ujian nasionalxa itu kpanx USER_MENTION sama nih rycco_95 jiah. msak sih hahaha USER_MENTION kceplosan tau,-1
36015,2,van persie tendangan ujian nasional niru madun yerrrrrrr,0
36016,1,USER_MENTION berharap konser nya setelah anak2 sma ujian nasional,1
36017,0,USER_MENTION gampanggampang susah yoan yang penting yoan harus belajar lebih giat lagi kan bentar lagi ujian nasional semangat adikku,0
36018,1,oo. yg ujian nasional dikumpul sesudah idul adha kan USER_MENTION evaluasi bab ujian nasional tar USER_MENTION pr mat yg mana de,-1
36019,1,hahak serius bener USER_MENTION kaya lgi beljar untuk ujian nasional breng USER_MENTION hahahaha,1
36020,1,kaya lgi beljar untuk ujian nasional breng USER_MENTION hahahaha,1
36021,1,evaluasi bab ujian nasional tar USER_MENTION pr mat yg mana de USER_MENTION pr buat besok besok kayak matematika,-1
36022,0,USER_MENTION ujinyali apa persiapan anda mengikuti uji nyali ini saya udh bawa pinsil penghapus papan dada sia dek uji,1
36023,0,USER_MENTION ujinyali apa persiapan anda mengikuti uji nyali ini saya udh bawa pinsil penghapus papan dada sia dek uji,1
36024,1,knp d USER_MENTION USER_MENTION bertanya2 sudah adakah grup sukses ujian nasional,1
36025,0,ingat kalian gausah terlalu memikirkan yang namanya ujian nasional bukan berarti nyuruh gausah belajar tapi bisa dibilang kelulusan itu,0
36026,1,USER_MENTION bertanya2 sudah adakah grup sukses ujian nasional,1
36027,2,bertanya2 sudah adakah grup sukses ujian nasional,1
36028,0,USER_MENTION ujian nasional bulan apa cenah aah apaan seri doang ngga kece dong p,-1
36029,0,USER_MENTION ujinyali apa persiapan anda mengikuti uji nyali ini saya udh bawa pinsil penghapus papan dada sia dek uji,1
36030,0,USER_MENTION ujinyali apa persiapan anda mengikuti uji nyali ini saya udh bawa pinsil penghapus papan dada sia dek uji,1
36031,2,autotxtnya_ actjihee_rpc to_rpl uan ujian akhir nasional. un ujian nasional folback ooonk klau prom juga kamsa,0
