,label,tweets,sentiment
9000,1,ngakak USER_MENTION sd pun juga pake psb online lah emang tk ada ujian nasional v,0
9001,2,sd pun juga pake psb online lah emang tk ada ujian nasional v,0
9002,0,USER_MENTION lebih baik keilangan pacar dari pada keilangan kartu ujian nasional,1
9003,0,kangen gebetan juga bahaya apalagi gebetan ujian nasional kalo ketauan itu bahaya banget USER_MENTION USER_MENTION,-1
9004,1,USER_MENTION surat keterangan hasil ujian nasional,0
9005,0,nisn yg dikasih waktu sd itu kartu un yg warna biru USER_MENTION bawa nisn kartu ujian nasional map pratiwiart cuma suruh ba,1
9006,1,USER_MENTION USER_MENTION ealaah tak kira ujian nasional atau apa gitu hahahap,0
9007,0,tapi gue bisa menahan rasa malunya kok USER_MENTION phobia tingkat ujian nasionalgt USER_MENTION diangkot pke sgala serangga,0
9008,1,bagaikan ujian nasional d rtUSER_MENTION tanyayuk apasih artinya cinta menurut lo,1
9009,1,bawa nisn kartu ujian nasional map USER_MENTION cuma suruh bawa fotokopi skhun sm bukti pendaftaran onlinekan USER_MENTION,1
9010,1,USER_MENTION ealaah tak kira ujian nasional atau apa gitu hahahap,0
9011,0,USER_MENTION yang namanya ujian nasional mungkin sudah tidak menjadi ukuran seberapa besar kemampuan seseorang,0
9012,0,phobia tingkat ujian nasionalgt USER_MENTION diangkot pke sgala serangga jtoh disblh gue gue teriak dan duduk di bawah malu mal,-1
9013,0,USER_MENTION yang namanya ujian nasional mungkin sudah tidak menjadi ukuran seberapa besar kemampuan seseorang,0
9014,0,USER_MENTION yang namanya ujian nasional mungkin sudah tidak menjadi ukuran seberapa besar kemampuan seseorang,0
9015,0,USER_MENTION lebih baik keilangan pacar dari pada keilangan kartu ujian nasional,1
9016,0,USER_MENTION yang namanya ujian nasional mungkin sudah tidak menjadi ukuran seberapa besar kemampuan seseorang,0
9017,0,USER_MENTION yang namanya ujian nasional mungkin sudah tidak menjadi ukuran seberapa besar kemampuan seseorang,0
9018,0,USER_MENTION yang namanya ujian nasional mungkin sudah tidak menjadi ukuran seberapa besar kemampuan seseorang,0
9019,0,USER_MENTION yang namanya ujian nasional mungkin sudah tidak menjadi ukuran seberapa besar kemampuan seseorang,0
9020,0,yang namanya ujian nasional mungkin sudah tidak menjadi ukuran seberapa besar kemampuan seseorang,0
9021,0,USER_MENTION di suruh duduk di meja guru karna ketauan nyontek sama temen waktu ujian nasional storysmu,-1
9022,1,USER_MENTION ke sklh buat cap jari buat surat keterangan ujian nasional blng ke wini jem,0
9023,1,USER_MENTION y nnti klas ud ujian nasional,0
9024,0,USER_MENTION lebih baik keilangan pacar dari pada keilangan kartu ujian nasional,1
9025,1,USER_MENTION cara yg salah dalam membaca soal ujian nasional LINK,-1
9026,1,tebar soal uas USER_MENTION tebar soal snmptn USER_MENTION whazzzzaaaaaaaap tebar soal ujian nasional,0
9027,1,USER_MENTION ujian nasional di cina itu sesuatu yg keramat. fail ur exam fail ur future fail ur life. itu mindset orang2 di cina.,-1
9028,1,this is one of my food orgasm USER_MENTION dan sate kerang medan pun terbang LINK,1
9029,1,ketemu jek daftar ulangwkwk USER_MENTION skhu nang x_x USER_MENTION surat keterangan hasil ujian nasional asli itu apa ya,1
9030,1,ehh jangan dilaporin atuh USER_MENTION lapor depdiknas USER_MENTION whazzzzaaaaaaaap tebar soal ujian nasional,0
9031,1,katanya biar mendidik USER_MENTION knp hrs ada un USER_MENTION enggak USER_MENTION penting ye ada ujian nasional,0
9032,1,oh berarti tahun ini ujian nasional ya USER_MENTION sma akk sieh udaa klas smk USER_MENTION iya makasih klw kamu kls b,0
9033,1,USER_MENTION USER_MENTION lu kan swasta jadinya gabutuh skhun._. surat keterangan hasil ujian nasional kalogasalah,1
9034,0,smk di korea tidak ada ujian nasional karena lebih berfokus kepada kemampuan produktifkeahlian koreanfact,-1
9035,1,lapor depdiknas USER_MENTION whazzzzaaaaaaaap tebar soal ujian nasional,0
9036,1,knp hrs ada un USER_MENTION enggak USER_MENTION penting ye ada ujian nasional,0
9037,2,whazzzzaaaaaaaap tebar soal ujian nasional,0
9038,1,sama bawa fotocopy nisnkartu peserta ujian nasional sama ijazah lu masing2 USER_MENTION USER_MENTION yaudah sipsip gitu doang neh,0
9039,1,enggak USER_MENTION penting ye ada ujian nasional,0
9040,2,taun lalu aku ujian nasional disini. yaampun kangen,0
9041,0,USER_MENTION haha sabar waebagaimanapun juga kuwi hak e dee.makane jare mbokkusaingan rto ki pas ujian nasional,1
9042,1,itu acara apaan mas lay USER_MENTION just did getop ips ujian nasional geschool,0
9043,0,USER_MENTION lebih baik keilangan pacar dari pada keilangan kartu ujian nasional,1
9044,2,just did getop ips ujian nasional geschool,0
9045,2,cukup sekali aku ngerjain soal un nya nyanyi dor animerp_ina whazzzzaaaaaaaap tebar soal ujian nasional,0
9046,1,udah ga jaman min rtUSER_MENTION whazzzzaaaaaaaap tebar soal ujian nasional,1
9047,1,tebar soal snmptn USER_MENTION whazzzzaaaaaaaap tebar soal ujian nasional,0
9048,2,penting ye ada ujian nasional,0
9049,1,USER_MENTION km bkn panitia anu tulisanny uji coba ujian nasional,1
9050,1,nem ujian nasional yang diantumin di stl USER_MENTION nem yg dipake yg mana siii like it LINK,0
9051,1,USER_MENTION jgn ngomong ujian nasional dong marai galau,0
9052,2,whazzzzaaaaaaaap tebar soal ujian nasional,0
9053,0,USER_MENTION surat keterangan hasil ujian nasional gt_lt ah masa ngedate bedua jeer doang hiks,-1
