,label,tweets,sentiment
103000,1,USER_MENTION peserta ujian nasional paket c di bekasi menurun LINK,-1
103001,1,USER_MENTION aku ujian nasional bro aku mgkt condet ro ciamis ae USER_MENTION lagi uas bro osd src berangkat gak bro ke tegal sama jogja USER_MENTION,1
103002,1,USER_MENTION sirku bareng kr gonku og mas gnmu un e tgl piro mas USER_MENTION aku ujian nasional bro aku mgkt condet ro ciamis ae,0
103003,1,USER_MENTION hehe hari lagi ujian nasional kak,0
103004,0,USER_MENTION dan berikanlah kami selalu kesehatan untuk menghadapi ujian nasional,1
103005,2,aduh dengar kabar hasil t.o bagus bagus jadi gak kebayang ujian nasional besok buruk,1
103006,0,mbah gimana tanggapan anda tentang kematian seorang anak gara2 mikirin ujian nasional yg paketnya USER_MENTION,0
103007,1,USER_MENTION y hari lg menuju ujian nasional paket tanpa bocoran. sucsessun13,0
103008,2,welcome to ujian nasional,0
103009,2,h11 mampukan tuhan ujian nasional,0
103010,1,USER_MENTION dan semoga tidak ada lagi orang yg mati sia krna ujian nasional amin,0
103011,1,bantalan USER_MENTION polahe kate ujian nasional lek yahmene iki adik buku pelajaran,0
103012,1,anjrrriiiiiitt die siapeee woooii USER_MENTION justin bieber konser norwegia tunda ujian nasional. wadaw LINK,0
103013,0,USER_MENTION dan berikanlah kami selalu kesehatan untuk menghadapi ujian nasional,1
103014,0,novi kamu lulus ujian nasional dan mendapat nilai sesuai targetmu serta di terima di sekolah itu sugesti,1
103015,1,USER_MENTION ujian nasional kk,0
103016,0,USER_MENTION segalau galaunya ngadepin ujian nasional masih kalah galau ngadepin mantan sama pacar barunya,-1
103017,2,peserta ujian nasional paket c di bekasi menurun kabar4 LINK,-1
103018,1,USER_MENTION asiknya merekaUSER_MENTION justin bieber konser norwegia tunda ujian nasional. wadaw LINK,0
103019,1,segitunyah USER_MENTION justin bieber konser norwegia tunda ujian nasional. wadaw LINK,0
103020,0,pukpuk USER_MENTION segalau galaunya ngadepin ujian nasional masih kalah galau ngadepin mantan sama pacar barunya,-1
103021,0,USER_MENTION h13 unkhawatir tonja saya iya mslah ujian nasionaltapi lebih khawatir lagi ternyata sisa hari ki sama sama,-1
103022,0,kartu ujian nasional udah ada ditangan. tapi beneran deh belum siap belajarnya masih edan eling gini,0
103023,1,USER_MENTION asiknya merekaUSER_MENTION justin bieber konser norwegia tunda ujian nasional. wadaw LINK,0
103024,0,USER_MENTION bismillahirrahmanirrahim harapan saya dibulan april dimudahkan dalam ujian nasional ujian seleksi dan ujian2 lainnya lulus amin,1
103025,2,y hari lg menuju ujian nasional paket tanpa bocoran. sucsessun13,0
103026,0,kak USER_MENTION doain aku sukses ya aq mau ujian nasional biar bagus nilainya kan kerabat kotak itu berprestasi ya kak,1
103027,1,ujian nasional teh apa kaya gimana gt USER_MENTION ujian nasional USER_MENTION un teh apa tutykartika USER_MENTION belajar k,1
103028,0,segalau galaunya ngadepin ujian nasional masih kalah galau ngadepin mantan sama pacar barunya,-1
103029,1,USER_MENTION apaan sihlo kok gaje tingakt ujian nasional,0
103030,0,USER_MENTION tips keliatan keren pas ujian nasional ketika selesai mengerjakan robeklah kertas soalnya sambil menjerit gampang banget sampah,1
103031,1,USER_MENTION saya bisa saya bisa saya bisa ujian nasional insya allah saya pasti bisa,0
103032,1,USER_MENTION dan semoga tidak ada lagi orang yg mati sia krna ujian nasional amin,0
103033,0,USER_MENTION dan berikanlah kami selalu kesehatan untuk menghadapi ujian nasional,1
103034,0,USER_MENTION ya rabbanaizinknlah kmi untk brsujud di mlm2 syahdu mubermunajat hny kpd muuntk ksuksesan kmi dlm ujian nasional dn impian kmi lainnya,0
103035,1,USER_MENTION saya bisa saya bisa saya bisa ujian nasional insya allah saya pasti bisa,0
103036,0,USER_MENTION dan berikanlah kami selalu kesehatan untuk menghadapi ujian nasional,1
103037,1,USER_MENTION ujian nasional succes oooo pengen banget,0
103038,1,USER_MENTION anak mana tuh ujian nasional,0
