,label,tweets,sentiment
74000,1,USER_MENTION dear bapak sby kenapa yang namanya ujian nasional ga di bubarin aja d,0
74001,2,dear bapak sby kenapa yang namanya ujian nasional ga di bubarin aja d,0
74002,0,USER_MENTION kalu bindo gapapa dah masa ujian nasional. yg di jadiin ulangan malah bhs asing_,1
74003,0,sebenarnya bukan ujian nasional yang aku takutkan tapi ketidak berhasilan perjuangan yang digagalkan oleh ujian sa,-1
74004,2,jgn serius yaa ini bukan ujian nasional,-1
74005,1,USER_MENTION ingin sukses ujian nasional baca tips terdahsyatnya disini LINK tryoutppigk2013,1
74006,1,USER_MENTION ingin sukses ujian nasional baca tips terdahsyatnya disini LINK tryoutppigk2013,1
74007,2,prakom ukom ujian produktif pm dann ujian nasional sumpah pusinnggg,1
74008,1,cc USER_MENTION USER_MENTION ingin sukses ujian nasional baca tips terdahsyatnya disini LINK tryoutppigk2013,1
74009,1,USER_MENTION ingin sukses ujian nasional baca tips terdahsyatnya disini LINK tryoutppigk2013,1
74010,2,ingin sukses ujian nasional baca tips terdahsyatnya disini LINK tryoutppigk2013,1
74011,1,USER_MENTION sampe ada ujian nasional uraian aku mogok sekolah. hahaha,0
74012,2,woy belajar woybentar lagi ujian nasional,0
74013,2,ujian nasional taun ini lulus aamiin,1
74014,1,USER_MENTION USER_MENTION semoga semuanya lulus dengan nilai memuaskan amiin siap ujian nasional snmptn,1
74015,1,USER_MENTION USER_MENTION kita pasti bisa lulus. everything is possible. semangat siap ujian nasional snmptn,1
74016,1,kan to ujian produktif ujian nasional ujian praktek dll USER_MENTION USER_MENTION lama amat sampe bulanfeb,0
74017,0,kak USER_MENTION yaallah lancarkanlah hamba dlm menghadapi ujian praktek ujian sekolah dan ujian nasional. amin,1
74018,1,USER_MENTION owh iya bru inget d suruh bawa buku ujian nasional,1
74019,1,USER_MENTION USER_MENTION un boleh paket soal tapi semangat lipat dari sebelumnya siap ujian nasional dan sukses snmptn,1
74020,0,ipdn insyallahUSER_MENTION buat kelas setelah lulus ujian nasional kalian mau lanjut kemana tanyaeighters,0
74021,1,USER_MENTION huaaa sibuk ngene ki arep ujian nasional okeh tugas pisan,1
74022,0,USER_MENTION yaallah lancarkanlah hamba dlm menghadapi ujian praktek ujian sekolah dan ujian nasional. amin,1
74023,0,yaallah lancarkanlah hamba dlm menghadapi ujian praktek ujian sekolah dan ujian nasional. amin,1
74024,1,USER_MENTION USER_MENTION un boleh paket soal tapi semangat lipat dari sebelumnya siap ujian nasional dan sukses snmptn,1
74025,1,ujian nasionalUSER_MENTION tes urine tes darah dk,0
74026,0,doain aja lulus ptn min USER_MENTION buat kelas setelah lulus ujian nasional kalian mau lanjut kemana tanyaeighters,0
74027,0,USER_MENTION semangat malam h84 menuju ujian nasional sma smk ma april dan h11 menuju pendaftaran snmptn februari,0
74028,1,ke acara temen bangUSER_MENTION hahaha lw au dk eh kmana tdi lburan a dk USER_MENTION tak kira ujian nasional,0
74029,1,USER_MENTION USER_MENTION siapa kt psrta un yg pasti lulus insyaallah amin.keep spirit amp keep istiqomah d y siap ujian nasional dan snmptn,1
74030,1,selama msh bisa beli nem santai ajahp wkwkwkwk USER_MENTION ujian nasional itu susah ngga sih duhh jd galault3,-1
74031,1,USER_MENTION USER_MENTION un boleh paket soal tapi semangat lipat dari sebelumnya siap ujian nasional dan sukses snmptn,1
74032,0,biasa aja soalnya guru setiap masuk kelas pasti ngomongin itu mulu rtUSER_MENTION respon km ketika ujian nasional paket mrcurhat,1
74033,1,kan ada gemboggggg haha USER_MENTION ujian nasional itu susah ngga sih duhh jd galault3,-1
74034,1,USER_MENTION ujian nasional itu susah ngga sih duhh jd galault3,-1
74035,2,respon km ketika ujian nasional paket mrcurhat,0
74036,2,ujian nasional itu susah ngga sih duhh jd galault3,-1
74037,1,USER_MENTION try out ujian akhir sekolah ujian praktek ujian nasional,-1
74038,1,USER_MENTION try out ujian akhir sekolah ujian praktek ujian nasional,-1
74039,1,USER_MENTION hari lagi menuju ujian nasional. salam paket apa yg sudah anda persiapkan,0
74040,0,un boleh paket soal tapi semangat lipat dari sebelumnya siap ujian nasional dan sukses snmptn y,1
74041,1,punya soal un gak jurusan ipa USER_MENTION USER_MENTION rahasia sukses ujian nasional kunjungi website di bio kami dan follow,1
74042,2,try out ujian akhir sekolah ujian praktek ujian nasional,-1
74043,1,USER_MENTION USER_MENTION un boleh paket soal tapi semangat lipat dari sebelumnya siap ujian nasional dan sukses snmptn,1
74044,1,USER_MENTION countdown yuks besok sudah h80 ujian nasional ekamas49sukses thanksgodimekamas49,0
74045,1,USER_MENTION countdown yuks besok sudah h80 ujian nasional ekamas49sukses thanksgodimekamas49,0
74046,1,USER_MENTION USER_MENTION un boleh paket soal tapi semangat lipat dari sebelumnya siap ujian nasional dan sukses snmptn,1
74047,0,USER_MENTION kenapa banyak pr pas lagi mau ujian nasional mungkin nda ada perasaannya itu guru,0
74048,1,USER_MENTION USER_MENTION hallo try out ujian praktek ujian sekolah ujian nasional. kita ketemu lagi nihhhh o o,-1
