,label,tweets,sentiment
104000,2,photo santai sejenak menjelang ujian nasional LINK,-1
104001,2,topik habgat pelajar hamil dilarang mengikuti ujian nasional,0
104002,1,USER_MENTION bisnis tahunan USER_MENTION USER_MENTION ujian nasional sejatinya cuma pasar jual beli jawaban yang dipercaya benar hapusun,1
104003,0,siswa sma menikah tapi setelah itu siswa tersebut dikeluarkan dari sekolah. dan dia tdk bisa ikut ujian nasional. masuk logika ga,-1
104004,1,joe senin amb ujian nasional. doa in yaaaaaa d USER_MENTION haha,-1
104005,1,USER_MENTION but sorryim in relation with ujian nasional,-1
104006,0,peraturan siswa yg hamil amp menikah gk boleh ikut ujian nasionalkalo menurut gw setuju aja karna sekolah gk cm akademis aja tp moral jg,-1
104007,1,USER_MENTION yang pengen sukses di ujian nasional retweet,1
104008,2,pelajar nikah amp hami dilarang mengikutin ujian nasionalo,-1
104009,0,semoga yang melaksanakan ujian nasional tahun ini lulus aminnn semangat adikadikku setanah air,0
104010,1,USER_MENTION yang pengen sukses di ujian nasional retweet,1
104011,0,USER_MENTION mau memajukan pendidikan indonesia dengan cara mempersulit sistem ujian nasional. logis,1
104012,2,berilan nilai ujian nasional nanti dengan nilai yg baik tuhan,1
104013,1,USER_MENTION doakan dia mbak arep ujian nasional kui lho,-1
104014,0,USER_MENTION saya perserta un menyatakan bahwa saya mau soal ujian nasional itu gampang dan saya bisa mengerjakan nya sudah itu saja.,0
104015,1,h5 ujian nasional sinau ne uwes wae USER_MENTION di akehi sek ndongo nduk p,0
104016,1,USER_MENTION sinau slem dilit ujian nasional loh,0
104017,1,USER_MENTION USER_MENTION mau memajukan pendidikan indonesia dengan cara mempersulit sistem ujian nasional. logis,1
104018,0,USER_MENTION selamat malam siswasiswi kelas viixxii yang yakin lulus ujian nasional dengan hasil yang memuaskan retweet,1
104019,0,pernahkah temen2 membayangkan betapa menyenangkannya berjuang pada ujian nasional karena itulah perjuangan akhir teman2 bersama sahabat.,1
104020,2,but sorryim in relation with ujian nasional,-1
104021,0,ujian nasional soalnya bukan atau lg tp jadi soal aja dengan jenis soal essay bkn pg lg hahaha pada meleduk smua p,0
